Sr.No.,College Name,CourseName,NT-D
1,"KIT college of enginieering(Autonomus), Kolhapur",Computer Science and engineering,93.1714502
2,"KIT college of enginieering(Autonomus), Kolhapur",CSE(AIML),84.0382056
3,"KIT college of enginieering(Autonomus), Kolhapur",CSE(DS),77.0895594
4,"KIT college of enginieering(Autonomus), Kolhapur",Electronics and Telecommunication Engineering,70.9370842
5,"KIT college of enginieering(Autonomus), Kolhapur",Mechanical Engineering,8.54
6,"KIT college of enginieering(Autonomus), Kolhapur",CSBS,0.00
7,"KIT college of enginieering(Autonomus), Kolhapur",Electrical engineering,0.00
8,"KIT college of enginieering(Autonomus), Kolhapur",Bio Technology,0.00
9,"KIT college of enginieering(Autonomus), Kolhapur",Civil Engineering,0.00
10,"KIT college of enginieering(Autonomus), Kolhapur",Environmental Engineering,0.00
